Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,EV Total Port Count (Beta),EV CHAdeMO Port Count (Beta),EV J1772 Port Count (Beta),EV CCS Port Count (Beta),EV NEMA 14-50 Port Count (Beta),EV NEMA 515 Port Count (Beta),EV NEMA 520 Port Count (Beta),EV Tesla Port Count (Beta),EV CCS 150+ kW Port Count (Beta)
ELEC,Space Age Fuel_Hermiston_OR,77522 S hwy 207,,Hermiston,OR,97838,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,45.78711,-119.32211,2023-10-20,121708,2023-10-20 01:06:59 UTC,,,,2019-04-26,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,4,1,0,4,0,0,0,0,4
ELEC,Walmart 2947 Vancouver,9000 NE HIGHWAY 99,,Vancouver,WA,98665,,833-632-2778,E,,Public,24 hours daily,,,,,,,6,,Electrify America,https://www.electrifyamerica.com/,GPS,45.68739,-122.66091,2023-10-20,121709,2023-10-20 01:06:30 UTC,,,,2019-01-01,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,6,1,0,6,0,0,0,0,5
ELEC,Walmart 1889 Island City,11619 Island Ave,,Island City,OR,97850,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,45.33658,-118.05945,2023-10-20,121710,2023-10-20 01:06:21 UTC,,,,2019-04-26,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,4,1,0,4,0,0,0,0,4
ELEC,Walmart 5396 Albany,1330 Goldfish Farm RD SE,,Albany,OR,97322,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,44.62701,-123.04942,2023-10-20,121713,2023-10-20 01:07:21 UTC,,,,2018-08-03,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,4,1,0,4,0,0,0,0,4
ELEC,T and T Country Store,40 WASHINGTON STREET W.,,Huntington,OR,97907,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,44.35113,-117.26859,2023-10-20,121714,2023-10-20 01:06:14 UTC,,,,2018-07-07,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,4,1,0,4,0,0,0,0,4
ELEC,"Walmart 2508 - Boise, ID",8300 W. Overland Rd,,Boise,ID,83709,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,43.59142,-116.28359,2023-10-20,121715,2023-10-20 01:06:30 UTC,,,,2019-04-26,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,4,1,0,4,0,0,0,0,4
ELEC,Walmart 2782 Mountain Home,2745 American Legion Blvd,,Mountain Home,ID,83647,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,43.13547,-115.66852,2023-10-20,121718,2023-10-20 01:07:37 UTC,,,,2019-01-01,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,4,1,0,4,0,0,0,0,4
ELEC,Walmart 2869 Lansing,409 N Marketplace Blvd,,Lansing,MI,48917,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,42.7392,-84.67381,2023-10-20,121721,2023-10-20 01:06:47 UTC,,,,2019-04-26,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,4,1,0,4,0,0,0,0,4
ELEC,Walmart 1834 Grants Pass,135 NE Terry Ln,,Grants Pass,OR,97526,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,42.43579,-123.30214,2023-10-20,121724,2023-10-20 01:06:24 UTC,,,,2018-08-03,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,4,1,0,4,0,0,0,0,4
ELEC,"Sams Club 8297 (Rockford, IL)",7151 Walton St,,Rockford,IL,61108,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,42.26657,-88.97829,2023-10-20,121725,2023-10-20 01:07:09 UTC,,,,2019-04-26,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,4,1,0,4,0,0,0,0,4
ELEC,"Sams Club 6661 - Portage, MI",7021 S Westnedge Ave,,Portage,MI,49002,,833-632-2778,E,,Public,24 hours daily,,,,,,,6,,Electrify America,https://www.electrifyamerica.com/,GPS,42.21405,-85.58807,2023-10-20,121727,2023-10-20 01:06:25 UTC,,,,2019-04-26,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,6,1,0,6,0,0,0,0,6
ELEC,Waterford Commons,915 Hartford Turnpike,,Waterford,CT,6385,,833-632-2778,E,,Public,24 hours daily,,,,,,,6,,Electrify America,https://www.electrifyamerica.com/,GPS,41.38014,-72.15035,2023-10-20,121737,2023-10-20 01:07:24 UTC,,,,2018-08-03,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,6,1,0,6,0,0,0,0,4
ELEC,Stratford Square,411 Barnum Ave Cutoff,,Stratford,CT,6615,,833-632-2778,E,,Public,24 hours daily,,,,,,,8,,Electrify America,https://www.electrifyamerica.com/,GPS,41.19802,-73.12234,2023-10-20,121739,2023-10-20 01:06:43 UTC,,,,2018-07-06,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,8,1,0,8,0,0,0,0,8
ELEC,Sheetz 248,2721 Salt Springs Road,,Girard,OH,44420,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,41.14364,-80.72128,2023-10-20,121740,2023-10-20 01:06:47 UTC,,,,2019-04-26,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,4,1,0,4,0,0,0,0,4
